uniprot,af_filename,mean_plddt_complex,mean_plddt_r1,mean_plddt_r2,mean_pae_1_1,mean_pae_1_2,mean_pae_2_2
A0A0R4I961,fold_a0a0r4i961_model_0.cif,87.039356097561,87.4104632768362,86.7099908508692,3.66108870967742,18.8282426075269,3.96271701388889
B5XAZ0,fold_b5xaz0_model_2.cif,85.806316262354,94.6552777777778,86.0096071829405,0.8625,3.3484649122807,6.18171745152355
D2AJU0,fold_d2aju0_model_1.cif,84.1431335773102,92.0671323529412,83.1647350714886,2.89983926678294,7.9957492938696,6.56827826368643
O00571,fold_o00571_model_0.cif,69.9428529868115,83.1347837150127,88.301875432526,5.60703873386089,7.57565597667639,4.53623203719358
O08722,fold_o08722_model_0.cif,71.9736986113021,82.4563956639566,79.3769733050036,3.57980859448302,5.2640039358825,5.17946416075583
O08967,fold_o08967_model_0.cif,85.1440460829493,64.8213433314335,88.9967683508103,6.21196853741497,9.67852067183463,2.34384351901929
O60741,fold_o60741_model_2.cif,62.4155077056028,86.0462261380323,83.0382335329341,3.39797830374753,4.53126550868486,3.96571930280957
O76074,fold_o76074_model_0.cif,73.2348410548824,69.7769954337899,76.9518740955138,8.55609861591695,15.2782058823529,4.86873795918367
O95267,fold_o95267_model_0.cif,68.8752024578541,71.0116593503073,88.2100847008999,12.9132538604698,17.5583709434773,3.12443170105508
O95376,fold_o95376_model_0.cif,79.5321739130435,84.2135847457627,84.1325431034483,3.74186344397416,18.3672413793103,2.02865636147444
P00519,fold_p00519_model_2.cif,55.8601318986463,89.4729290891515,85.923736532811,3.43049418306145,5.8289180476163,4.41405215790226
P00520,fold_p00520_model_0.cif,56.3988251683306,69.8471339568919,86.4177058823529,13.9380216893194,11.7925924256793,4.24785003412644
P00523,fold_p00523_model_1.cif,77.9929207100592,90.7802121889938,72.1637836167541,3.36128839409076,5.67259904371585,10.5206856635761
P00579,fold_p00579_model_3.cif,81.6691482008538,64.9981669394435,90.0786091960053,9.00908941485865,27.534419944091,3.57543765193058
P04637,fold_p04637_model_1.cif,69.5024215686275,28.1970212765957,95.7594562334218,17.723305588585,31.5179854809437,2.02883379501385
P06241,fold_p06241_model_0.cif,75.7788408506661,82.9579382834675,65.0353907676431,5.26961254166616,8.84191882637353,12.2818552360477
P07038,fold_p07038_model_4.cif,80.1199020025565,53.5902857142857,84.3099795501023,6.00976,15.9285714285714,3.15958679768204
P07949,fold_p07949_model_2.cif,73.5463112128146,31.4504494382022,78.1873360064895,6.71234567901235,22.4467777777778,5.55197999375186
